trade_date,Open,High,Low,Close,Adj Close,Prev Close,Volume,Returns,Log_Returns,Volatility,Cumulative_Returns,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,BB_Middle,BB_Upper,BB_Lower,BB_Bandwidth,BB_Percent_B,RSI,Williams_R,CCI,MACD_MACD,MACD_Signal,MACD_Histogram,Stoch_K,Stoch_D,ATR,Keltner_Middle,Keltner_Upper,Keltner_Lower,OBV,Volume_SMA
2025-08-25,1.24,1.278,1.24,1.278,1.278,1.245,856464.07,0.026506024096385472,0.026160826038672057,0.27605584787835735,1.2566371681415915,1.21595,1.1489,,1.2284190192170674,1.202337167060283,1.21595,1.2678587255620257,1.1640412744379744,0.08537970403721475,1.097683716255531,67.59433699674713,-0.0,188.3794274623961,0.02608185215678449,0.02510773541464283,0.0009741167421416612,100.0,91.95755712304818,0.027071428571428587,1.2129419410972089,1.2713419410972089,1.1545419410972089,3546962.4499999993,834248.3205
2025-08-26,1.278,1.28,1.263,1.267,1.267,1.278,613136.04,-0.008607198748043943,-0.008644454616341187,0.2756633163318641,1.2458210422812177,1.2192,1.1535,,1.2343547142290607,1.2071648545036862,1.2192,1.2753936501376222,1.163006349862378,0.09218118460896016,0.9253149589227105,64.44296752330459,-14.444444444444567,184.90842490842547,0.027189859725374577,0.025524160603532086,0.0016656991218424906,85.55555555555543,94.01559454191029,0.025642857142857172,1.2180997492988228,1.275499749298823,1.1606997492988227,2933826.409999999,830808.917
2025-08-27,1.268,1.279,1.244,1.244,1.244,1.267,718617.02,-0.01815311760063132,-0.018319907022014203,0.2792721174179677,1.2232055063913456,1.22215,1.1574200000000001,,1.2358386380895192,1.2099133351517732,1.22215,1.27696173520141,1.1673382647985902,0.08969723062048016,0.6993186305789301,58.3204541468741,-40.0,127.09353648950952,0.025925302937745975,0.025604389120735118,0.00032091381701085733,60.0,81.8518518518518,0.02642857142857145,1.2205705233047623,1.2769705233047624,1.1641705233047623,2215209.389999999,821515.2915
2025-08-28,1.244,1.263,1.216,1.262,1.262,1.244,840300.03,0.014469453376205754,0.014365769802033681,0.2816560956922803,1.2409046214355934,1.22615,1.16202,,1.2398635404382248,1.213797714860439,1.22615,1.2802970706793813,1.172002929320619,0.0883204676089894,0.8310428389771726,61.410419577512535,-20.0,90.64785788923759,0.026065825577785695,0.025696676458488995,0.00036914911929670016,80.0,75.18518518518515,0.0285714285714286,1.2245220965607906,1.2833220965607905,1.1657220965607906,3055509.419999999,815504.5335
2025-08-29,1.262,1.288,1.252,1.287,1.287,1.262,777545.01,0.019809825673533954,0.01961616449496808,0.2737133696131725,1.2654867256637152,1.23255,1.1674200000000001,,1.2471154215087785,1.2192540637396527,1.23255,1.283438836538189,1.181661163461811,0.08257488383950182,1.0349896333269328,65.26238856923695,-1.0204081632654194,176.2145330918575,0.027861357769125794,0.026129612894541864,0.00173174487458393,98.97959183673458,79.6598639455782,0.02971428571428574,1.2304804340860602,1.2897804340860604,1.17118043408606,3833054.429999999,817760.7345
2025-09-01,1.288,1.289,1.253,1.275,1.275,1.287,714444.09,-0.009324009324009341,-0.00936775000360016,0.2554797207271735,1.2536873156342168,1.23635,1.17228,,1.2514054157578083,1.2234073253808806,1.23635,1.2880343659553886,1.1846656340446116,0.08360798472178348,0.8739041708798431,62.060165541661405,-14.141414141414158,140.4312503817722,0.027998090376927687,0.02650330851112017,0.0014947818658075165,85.85858585858584,88.27939256510682,0.029928571428571464,1.2347255890187498,1.29202558901875,1.1774255890187497,3118610.339999999,810189.731
2025-09-02,1.276,1.278,1.228,1.251,1.251,1.275,746152.07,-0.018823529411764683,-0.019002947125615358,0.26719576086134883,1.2300884955752198,1.23885,1.1767,,1.25134304337574,1.2254621911808914,1.23885,1.288115232749828,1.189584767250172,0.0795338140207902,0.6233121140592024,56.128375588679965,-38.38383838383842,57.92369550758835,0.02588085219484859,0.02637881721585789,-0.000497965021009298,61.61616161616157,82.15144643716066,0.0318571428571429,1.2362772513445746,1.2962772513445746,1.1762772513445745,2372458.269999999,813803.5345000001
2025-09-03,1.274,1.274,1.159,1.163,1.163,1.251,1055911.08,-0.07034372501998387,-0.07294035794824656,0.355400112646185,1.143559488692231,1.2353,1.17856,,1.2377516718831851,1.2208123903944,1.2353,1.2951352123049542,1.175464787695046,0.09687559670517953,-0.10415930030897413,40.74881488301235,-96.92307692307692,-125.95474852284178,0.016939281488785207,0.024490909682123297,-0.00755162819333809,3.0769230769230824,50.18389018389016,0.037428571428571464,1.2292914657546214,1.2970914657546215,1.1614914657546214,1316547.189999999,830676.3235
2025-09-04,1.145,1.149,1.1,1.113,1.113,1.163,836077.51,-0.042992261392949316,-0.04394380124311964,0.38308348343421006,1.094395280235987,1.22965,1.1792399999999998,,1.2185589468048466,1.2127895876416654,1.22965,1.3107458497218276,1.1485541502781722,0.13190070299976045,-0.21921066491151447,34.89779631600072,-93.12169312169317,-307.1045167944126,0.005769359163181109,0.020746598962206826,-0.014977239799025717,6.878306878306832,23.857130523797164,0.040785714285714314,1.2182060383456517,1.2899060383456518,1.1465060383456516,480469.679999999,824773.8765
2025-09-05,1.115,1.125,1.102,1.124,1.124,1.113,762038.69,0.009883198562443907,0.009834679178091613,0.3864974331346979,1.1052114060963607,1.2248,1.18002,,1.2040113137977264,1.2061846051877363,1.2248,1.318670235179377,1.1309297648206231,0.15328255254633733,-0.036911406514434024,37.039655685140545,-87.30158730158728,-247.62782835849518,-0.0021732913900098794,0.01616262028832686,-0.01833591167833674,12.69841269841272,7.5512142178808785,0.04035714285714287,1.209226669544454,1.281526669544454,1.136926669544454,1242508.369999999,824658.7095
2025-09-08,1.136,1.139,1.115,1.134,1.134,1.124,629977.16,0.008896797153024716,0.008857453834060803,0.38383580946030543,1.1150442477876092,1.2196000000000002,1.17976,,1.1932402780852087,1.2008165447347767,1.2196000000000002,1.3215646997739905,1.11763530022601,0.16721006850441167,0.08024688843424768,39.00431115364655,-82.0105820105821,-175.5516500683463,-0.007576266649568009,0.011414842400748517,-0.018991109050316528,17.989417989417902,12.522045855379153,0.04021428571428572,1.2020569040496518,1.2747569040496518,1.1293569040496518,1872485.5299999989,829220.5675
